test_id,species
56,versicolor
104,virginica
69,versicolor
55,versicolor
132,virginica
29,setosa
127,virginica
26,setosa
128,virginica
131,virginica
145,virginica
108,virginica
143,virginica
45,setosa
30,setosa
22,setosa
15,setosa
65,versicolor
11,setosa
42,setosa
146,virginica
51,versicolor
27,setosa
4,setosa
32,setosa
142,virginica
85,versicolor
86,versicolor
16,setosa
10,setosa
81,versicolor
133,virginica
137,virginica
75,versicolor
109,virginica
96,versicolor
105,virginica
66,versicolor
0,setosa
122,virginica
67,versicolor
28,setosa
40,setosa
44,setosa
60,versicolor
123,virginica
24,setosa
25,setosa
23,setosa
94,versicolor
39,setosa
95,versicolor
117,virginica
47,setosa
97,versicolor
113,virginica
33,setosa
138,virginica
101,virginica
62,versicolor
84,versicolor
148,virginica
53,versicolor
5,setosa
93,versicolor
111,virginica
49,setosa
35,setosa
80,versicolor
77,versicolor
34,setosa
114,virginica
7,setosa
43,setosa
70,versicolor
98,versicolor
120,virginica
83,versicolor
134,virginica
135,virginica
89,versicolor
8,setosa
13,setosa
119,virginica
125,virginica
3,setosa
17,setosa
38,setosa
72,versicolor
136,virginica
6,setosa
112,virginica
100,virginica
2,setosa
63,versicolor
54,versicolor
126,virginica
50,versicolor
115,virginica
46,setosa
139,virginica
61,versicolor
147,virginica
79,versicolor
59,versicolor
91,versicolor
41,setosa
58,versicolor
90,versicolor
48,setosa
88,versicolor
107,virginica
124,virginica
21,setosa
57,versicolor
144,virginica
129,virginica
37,setosa
140,virginica
1,setosa
52,versicolor
130,virginica
103,virginica
99,versicolor
116,virginica
87,versicolor
74,versicolor
121,virginica
149,virginica
20,setosa
71,versicolor
106,virginica
14,setosa
92,versicolor
102,virginica
